SIZE,TIME 
5000,0.006347686052322388
10000,0.01212843507528305
15000,0.01895974576473236
20000,0.023408938199281693
25000,0.031603869050741196
30000,0.03765280917286873
35000,0.043822746723890305
40000,0.046253692358732224
45000,0.05020913481712341
50000,0.055312931537628174
55000,0.062446556985378265
60000,0.06619449704885483
65000,0.0717100016772747
70000,0.07745831459760666
75000,0.08267881348729134
80000,0.08925968408584595
85000,0.09342961385846138
90000,0.09883250296115875
95000,0.10418650135397911
100000,0.10990405827760696
