SIZE,TIME 
5000,0.2212611921131611
10000,0.45937300100922585
15000,0.701159693300724
20000,0.9436323679983616
25000,1.1864571832120419
30000,1.4569727517664433
35000,1.686328500509262
40000,1.9743842408061028
45000,2.2817509919404984
50000,2.4628274962306023
55000,2.7371526323258877
60000,2.9986340068280697
65000,3.2476294934749603
70000,3.468345560133457
75000,3.7423553690314293
80000,4.040702309459448
85000,4.332562066614628
90000,4.651349741965532
95000,4.94441481679678
100000,5.0633847415447235
105000,5.389929316937923
110000,5.63735619187355
115000,5.795363932847977
120000,6.147543184459209
125000,6.457214128226042
130000,6.636341813951731
135000,6.87313050031662
140000,7.160275120288134
145000,7.458787746727467
150000,7.740868680179119
155000,8.094765696674585
160000,8.345825433731079
165000,8.556509375572205
170000,8.943368747830391
175000,9.79818569868803
180000,9.747192692011595
185000,9.920732762664557
190000,10.178041256964207
195000,10.274919304996729
200000,10.519493497908115
