SIZE,TIME 
5000,0.005177747458219528
10000,0.00996818020939827
15000,0.01474398747086525
20000,0.01950649544596672
25000,0.024367738515138626
30000,0.029133755713701248
35000,0.033923618495464325
40000,0.03860993683338165
45000,0.043939996510744095
50000,0.04821682348847389
55000,0.053119439631700516
60000,0.05768543481826782
65000,0.062423814088106155
70000,0.06803606450557709
75000,0.07196956500411034
80000,0.07694756239652634
85000,0.08147187903523445
90000,0.08625486865639687
95000,0.0913526862859726
100000,0.09643594175577164
105000,0.10042563453316689
110000,0.10606912150979042
115000,0.11114312335848808
120000,0.11494356393814087
125000,0.11975638940930367
130000,0.12411617860198021
135000,0.1288120038807392
140000,0.13357987627387047
145000,0.14248574897646904
150000,0.14327919110655785
155000,0.1478322520852089
160000,0.15256081521511078
165000,0.15705661475658417
170000,0.16394830867648125
175000,0.166560810059309
180000,0.1737598180770874
185000,0.17616043984889984
190000,0.18325012177228928
195000,0.18713506311178207
200000,0.19145537540316582
