SIZE,TIME 
5000,0.09881993010640144
10000,0.18611381202936172
15000,0.26509080827236176
20000,0.43767210841178894
25000,0.5449068695306778
30000,0.6510988138616085
35000,0.7609453238546848
40000,0.8604791834950447
45000,0.97240199893713
50000,1.0783205665647984
55000,1.178920567035675
60000,1.2896142601966858
65000,1.4081993699073792
70000,1.511399008333683
75000,1.631257552653551
80000,1.7509176954627037
85000,1.8381748236715794
90000,1.9418471306562424
95000,2.089868512004614
100000,2.195396687835455
105000,2.3081416860222816
110000,3.2309777475893497
115000,2.623561069369316
120000,2.6946346387267113
125000,2.7905586287379265
130000,2.9350297525525093
135000,3.010731566697359
140000,3.084285944700241
145000,3.228424057364464
150000,3.32673130184412
155000,3.47287130728364
160000,3.540189389139414
165000,3.691139627248049
170000,3.7968752421438694
175000,3.9061409421265125
180000,5.273752622306347
185000,4.324525497853756
190000,4.26515556126833
195000,4.33984487131238
200000,4.46836169436574
