SIZE,TIME 
5000,0.12700581178069115
10000,0.22921054810285568
15000,0.32903212681412697
20000,0.5315041281282902
25000,0.6550036333501339
30000,0.7912940569221973
35000,0.9170244261622429
40000,1.0407806895673275
45000,1.1724124401807785
50000,1.293277882039547
55000,1.4500005543231964
60000,1.5916124358773232
65000,1.725269127637148
70000,1.8547403700649738
75000,1.9571964964270592
80000,2.166727624833584
85000,2.237023126333952
90000,2.354259755462408
95000,2.506786994636059
100000,2.6339098885655403
105000,2.7541274912655354
110000,2.8898648843169212
115000,3.0279936864972115
120000,3.1051930524408817
125000,3.241235814988613
130000,3.3861973732709885
135000,3.472688376903534
140000,3.640138868242502
145000,3.782384190708399
150000,3.922441627830267
155000,4.039929635822773
160000,4.168705563992262
165000,4.33977111056447
170000,4.506426505744457
175000,4.634304311126471
180000,4.735751755535603
185000,4.894456684589386
190000,5.068071059882641
195000,5.146231513470411
200000,5.307125572115183
